,V1,V2
6,PCT_SE_A01001_013,1.922226165
23,PCT_SE_A09001_005,1.914955751
25,PCT_SE_A09001_008,1.836109931
24,PCT_SE_A09001_006,1.748605409
27,SE_T006_001,1.740585227
35,Jul.Precipitation...inch,1.734036277
38,Nov.Precipitation...inch,1.733209656
18,PCT_SE_A12001_008,1.713598437
33,Mar.Precipitation...inch,1.711178948
32,min_dist,1.707018156
4,PCT_SE_A01001_008,1.706741738
39,EP_UNEMP,1.704407458
31,SE_T012_003,1.699511994
28,SE_T009_001,1.671783328
5,PCT_SE_A01001_009,1.669223879
36,Aug.Precipitation...inch,1.663905287
30,SE_T012_002,1.662073729
9,PCT_SE_A03001_008,1.65388803
34,May.Precipitation...inch,1.61317972
17,PCT_SE_A12001_004,1.571676012
3,PCT_SE_A01001_005,1.561592959
26,PCT_SE_A09001_009,1.53104081
10,PCT_SE_A10008_005,1.469838419
21,PCT_SE_A09005_005,1.452433061
37,Sep.Precipitation...inch,1.451890517
41,all_icu,1.428456705
2,SE_A00002_003,1.426950316
42,case_ind1,1.424606894
22,PCT_SE_A09005_007,1.41281523
29,SE_T012_001,1.411852712
7,PCT_SE_A03001_006,1.352080579
40,EP_GROUPQ,1.345569368
8,PCT_SE_A03001_007,1.33979537
16,PCT_SE_A10002B_008,1.323684029
13,PCT_SE_A10002B_005,1.309597778
12,PCT_SE_A10002B_004,1.303068433
11,PCT_SE_A10002B_003,1.292655779
1,SE_A00002_002,1.289122489
14,PCT_SE_A10002B_006,1.274269562
43,met2,1.245511505
15,PCT_SE_A10002B_007,1.234058839
19,PCT_SE_A09005_010,1.219731595
20,PCT_SE_A09005_004,1.105885558
44,met1.1,1.093994986
